Filename,Predictions,Truth,Accuracy
18,4,4,44.24972617743702
36,3,2,
47,4,4,
48,4,4,
49,4,4,
54,3,4,
56,4,4,
59,1,1,
62,1,5,
69,1,1,
72,4,-1,
78,1,2,
81,4,-1,
87,1,3,
95,1,5,
98,4,4,
113,1,5,
127,1,2,
138,4,-1,
141,1,5,
153,4,4,
173,3,3,
174,4,4,
181,1,4,
183,1,1,
184,4,4,
187,4,4,
194,1,5,
209,4,-1,
214,1,5,
215,1,2,
218,3,-1,
226,4,-1,
233,4,4,
236,4,4,
237,1,1,
238,4,3,
245,1,4,
255,4,4,
258,4,-1,
262,1,3,
264,1,1,
285,3,-1,
287,4,4,
288,4,-1,
296,3,1,
298,4,3,
312,1,1,
313,4,5,
318,4,3,
320,1,2,
328,4,4,
329,1,5,
335,1,5,
342,4,-1,
347,4,3,
355,4,-1,
360,4,4,
361,4,3,
369,4,4,
371,1,1,
372,4,-1,
373,4,3,
374,3,3,
375,1,5,
382,4,-1,
396,4,3,
397,3,4,
398,1,5,
399,4,4,
402,3,3,
407,1,1,
414,1,2,
417,4,3,
418,1,1,
424,4,3,
425,1,4,
429,1,1,
434,1,2,
438,3,2,
451,4,4,
453,4,-1,
458,3,2,
459,1,5,
462,3,3,
468,4,4,
478,3,3,
496,3,3,
497,3,3,
499,4,4,
500,1,1,
507,4,3,
516,4,3,
526,1,1,
543,3,3,
544,4,4,
547,1,2,
562,1,2,
568,1,5,
571,1,5,
581,4,-1,
598,3,3,
609,3,2,
611,4,4,
616,1,4,
620,1,1,
622,3,1,
624,4,4,
629,3,-1,
645,4,4,
649,3,4,
660,3,4,
665,1,-1,
667,4,4,
671,1,5,
675,4,4,
688,1,5,
696,1,1,
697,1,2,
710,4,-1,
716,1,1,
726,3,3,
727,1,0,
739,4,3,
745,1,1,
749,1,1,
753,4,3,
758,-1,5,
763,1,0,
764,3,2,
773,4,3,
780,1,2,
781,1,2,
785,1,5,
786,1,2,
790,4,4,
802,3,3,
807,3,1,
808,-1,0,
811,1,5,
812,4,-1,
817,1,-1,
822,3,0,
831,1,1,
832,1,1,
838,1,3,
851,1,5,
856,3,4,
858,1,1,
870,1,2,
873,1,1,
880,4,4,
885,1,1,
887,1,3,
888,1,1,
897,3,-1,
903,4,3,
904,1,1,
916,1,2,
917,4,3,
942,3,3,
948,4,-1,
971,3,3,
973,1,1,
974,3,3,
977,4,-1,
994,4,4,
1003,3,3,
1012,4,-1,
1013,-1,-1,
1023,3,2,
1024,5,5,
1025,3,4,
1026,1,1,
1028,1,2,
1029,1,1,
1044,3,-1,
1051,1,5,
1055,3,3,
1058,4,-1,
1061,1,5,
1074,1,1,
1078,4,-1,
1079,4,4,
1081,1,2,
1087,1,2,
1089,4,1,
1095,1,2,
1104,1,1,
1105,4,-1,
1106,4,4,
1109,3,3,
1110,4,3,
1127,4,3,
1131,4,-1,
1137,4,4,
1139,4,3,
1141,4,4,
1144,1,1,
1150,4,3,
1161,1,1,
1171,1,2,
1180,4,4,
1186,3,3,
1188,3,2,
1193,4,4,
1194,4,4,
1195,5,5,
1211,1,0,
1213,1,3,
1214,1,2,
1217,1,1,
1220,1,1,
1247,4,-1,
1249,4,3,
1254,3,3,
1261,1,5,
1267,-1,5,
1276,1,1,
1277,4,4,
1279,4,4,
1280,1,-1,
1283,1,2,
1287,1,1,
1292,1,2,
1298,1,2,
1316,1,1,
1323,3,3,
1325,-1,-1,
1329,1,1,
1348,1,2,
1349,1,1,
1353,5,5,
1363,1,1,
1366,3,3,
1371,4,4,
1373,1,1,
1379,4,-1,
1380,1,1,
1382,1,1,
1387,3,3,
1389,1,5,
1397,3,4,
1405,1,3,
1422,1,5,
1432,3,3,
1444,1,5,
1446,1,2,
1450,4,3,
1454,1,1,
1455,1,2,
1461,1,1,
1462,3,-1,
1468,4,-1,
1473,1,1,
1476,4,4,
1479,1,2,
1480,1,2,
1481,4,-1,
1485,3,3,
1486,1,1,
1488,1,2,
1491,-1,4,
1492,4,4,
1500,1,-1,
1501,1,3,
1503,1,5,
1518,1,1,
1521,4,-1,
1526,1,3,
1527,3,3,
1531,4,-1,
1537,1,4,
1540,4,3,
1549,4,3,
1554,1,1,
1555,4,-1,
1558,4,3,
1565,4,-1,
1576,4,4,
1586,3,3,
1590,3,2,
1591,1,3,
1594,1,1,
1595,1,1,
1598,1,3,
1599,1,5,
1600,4,4,
1610,1,0,
1614,1,1,
1619,1,2,
1622,4,3,
1632,3,-1,
1636,1,1,
1637,1,1,
1652,1,1,
1653,1,5,
1675,1,1,
1680,-1,4,
1683,3,2,
1687,1,3,
1688,4,4,
1693,3,3,
1703,3,3,
1706,3,-1,
1720,-1,3,
1737,1,3,
1744,1,-1,
1745,4,4,
1748,1,1,
1750,4,3,
1752,1,1,
1754,4,-1,
1759,3,4,
1764,3,3,
1768,1,2,
1773,1,1,
1774,4,4,
1780,4,3,
1785,4,4,
1786,1,2,
1789,4,3,
1813,1,1,
1818,1,-1,
1829,3,2,
1836,3,2,
1837,1,-1,
1849,1,1,
1850,1,5,
1854,4,4,
1862,1,3,
1871,3,3,
1876,1,5,
1879,1,1,
1886,1,2,
1888,1,5,
1907,1,5,
1915,1,0,
1916,1,1,
1917,1,1,
1918,3,3,
1929,1,3,
1930,1,2,
1945,1,3,
1956,4,-1,
1973,1,4,
1980,1,1,
2001,1,1,
2006,4,4,
2012,4,4,
2013,1,1,
2015,1,1,
2032,1,5,
2033,4,-1,
2057,1,2,
2060,1,1,
2064,1,-1,
2066,4,3,
2068,4,4,
2069,1,1,
2078,-1,4,
2080,4,4,
2084,1,4,
2089,1,5,
2091,4,-1,
2106,3,3,
2113,1,5,
2119,1,1,
2120,4,4,
2123,3,3,
2124,3,1,
2135,1,1,
2140,1,1,
2148,1,2,
2153,1,2,
2156,-1,-1,
2165,4,4,
2166,4,1,
2169,1,3,
2180,1,5,
2189,4,4,
2205,1,5,
2219,4,0,
2222,4,-1,
2224,4,4,
2238,1,5,
2253,-1,5,
2263,4,-1,
2269,4,3,
2272,4,3,
2277,1,1,
2285,1,2,
2294,1,0,
2299,4,4,
2301,1,2,
2304,1,1,
2306,4,4,
2312,1,1,
2315,1,1,
2316,4,4,
2317,1,1,
2318,4,4,
2322,1,2,
2324,4,-1,
2328,1,1,
2332,3,-1,
2335,3,3,
2342,4,4,
2344,1,2,
2353,1,0,
2355,4,3,
2359,1,-1,
2361,1,1,
2379,4,-1,
2388,1,5,
2393,3,3,
2395,4,4,
2420,1,1,
2422,4,3,
2424,3,2,
2430,1,2,
2442,4,3,
2443,1,0,
2444,4,-1,
2455,1,3,
2484,4,-1,
2490,1,5,
2491,1,1,
2492,1,2,
2493,1,1,
2494,1,5,
2499,1,5,
2502,1,1,
2505,4,-1,
2507,1,1,
2512,1,1,
2518,4,3,
2532,3,3,
2536,4,4,
2542,1,3,
2546,3,-1,
2551,1,1,
2552,4,3,
2553,1,3,
2554,4,0,
2555,1,3,
2556,1,1,
2563,1,1,
2574,3,3,
2582,1,1,
2583,1,1,
2584,4,4,
2594,1,2,
2595,4,3,
2596,1,1,
2607,1,5,
2618,1,2,
2620,1,5,
2621,3,3,
2622,4,4,
2629,1,1,
2630,1,5,
2631,1,1,
2632,4,4,
2636,1,1,
2641,5,-1,
2642,-1,-1,
2644,1,1,
2660,3,4,
2663,4,3,
2664,4,4,
2665,1,2,
2666,1,5,
2667,1,5,
2673,1,2,
2679,4,3,
2681,3,4,
2683,4,4,
2684,3,3,
2691,1,5,
2692,4,4,
2693,1,3,
2697,4,4,
2698,4,4,
2704,4,3,
2705,1,3,
2711,4,3,
2714,1,1,
2715,4,-1,
2716,1,2,
2728,3,2,
2730,4,-1,
2751,3,3,
2759,1,1,
2762,1,1,
2768,1,5,
2774,3,2,
2777,3,3,
2788,3,-1,
2791,-1,0,
2796,1,3,
2798,4,4,
2802,1,2,
2808,4,4,
2809,4,-1,
2811,4,4,
2813,3,3,
2818,3,3,
2821,1,5,
2823,-1,4,
2825,1,2,
2836,1,2,
2840,1,1,
2844,1,5,
2847,1,1,
2852,4,-1,
2858,1,1,
2860,4,3,
2862,4,4,
2866,4,3,
2876,1,0,
2877,5,5,
2891,1,-1,
2894,1,2,
2895,1,1,
2897,1,5,
2905,1,5,
2909,4,5,
2916,1,2,
2917,3,3,
2946,3,2,
2947,1,1,
2950,3,2,
2952,4,4,
2953,4,4,
2954,1,1,
2961,4,3,
2962,1,1,
2969,4,4,
2980,1,1,
2989,1,1,
2994,3,3,
3004,3,3,
3006,1,2,
3019,4,-1,
3020,1,2,
3036,3,3,
3039,1,1,
3041,1,1,
3046,4,3,
3048,4,4,
3055,1,2,
3056,4,-1,
3061,1,2,
3065,3,2,
3074,4,-1,
3077,4,4,
3078,4,4,
3094,1,1,
3097,1,3,
3118,1,5,
3120,4,3,
3127,1,5,
3135,4,-1,
3137,4,4,
3138,3,3,
3142,4,3,
3143,4,3,
3144,1,2,
3149,1,2,
3151,4,-1,
3153,4,3,
3154,1,3,
3169,1,-1,
3186,1,5,
3191,1,1,
3197,-1,4,
3201,1,1,
3202,1,5,
3203,1,1,
3208,1,5,
3209,1,2,
3211,1,1,
3218,1,-1,
3220,4,-1,
3226,4,3,
3232,4,3,
3239,4,3,
3248,4,3,
3253,4,4,
3269,4,4,
3275,1,3,
3288,1,1,
3290,1,2,
3292,1,5,
3300,1,2,
3310,4,4,
3318,4,3,
3320,1,5,
3323,1,5,
3332,3,2,
3354,3,3,
3362,1,5,
3374,1,1,
3386,1,-1,
3390,1,1,
3404,1,5,
3406,4,-1,
3409,1,1,
3410,1,2,
3417,1,2,
3421,1,2,
3423,1,1,
3428,1,5,
3431,4,4,
3432,1,1,
3433,4,-1,
3439,1,1,
3451,1,2,
3454,1,2,
3462,1,1,
3463,1,1,
