Filename,Predictions,Truth,Accuracy
1,-1,-1,98.79518072289157
2,-1,-1,
7,-1,-1,
19,-1,-1,
29,1,1,
31,-1,-1,
33,-1,-1,
34,1,1,
36,1,1,
37,-1,-1,
38,-1,-1,
49,-1,-1,
65,-1,-1,
74,1,1,
82,-1,-1,
83,-1,-1,
86,-1,-1,
93,-1,-1,
96,-1,-1,
100,-1,-1,
112,-1,-1,
114,-1,-1,
117,1,1,
118,1,1,
121,1,1,
126,1,1,
128,-1,-1,
132,-1,-1,
139,1,1,
146,-1,-1,
147,-1,-1,
156,-1,-1,
157,-1,-1,
168,-1,-1,
173,1,1,
179,-1,-1,
184,1,1,
188,-1,-1,
190,1,1,
192,-1,-1,
209,-1,-1,
211,-1,-1,
226,-1,-1,
231,-1,-1,
232,1,1,
234,1,1,
236,-1,-1,
239,-1,-1,
242,1,1,
255,1,1,
259,-1,-1,
263,-1,-1,
264,-1,-1,
265,-1,-1,
270,-1,-1,
271,-1,-1,
273,1,1,
279,-1,-1,
280,-1,-1,
287,-1,-1,
291,-1,-1,
293,-1,-1,
296,-1,-1,
300,-1,-1,
304,-1,-1,
308,-1,-1,
310,-1,-1,
338,-1,-1,
346,-1,-1,
366,-1,-1,
373,-1,-1,
377,-1,-1,
378,-1,-1,
385,1,1,
391,1,1,
394,-1,-1,
406,-1,-1,
408,-1,-1,
412,-1,-1,
417,-1,-1,
418,1,1,
419,-1,-1,
422,1,1,
426,-1,-1,
433,-1,-1,
435,1,1,
441,-1,-1,
445,-1,-1,
453,-1,-1,
461,-1,-1,
467,-1,-1,
468,1,1,
473,-1,-1,
475,-1,-1,
478,-1,-1,
482,1,1,
483,-1,-1,
497,-1,-1,
498,-1,-1,
502,-1,-1,
505,1,1,
510,-1,-1,
513,1,-1,
520,1,1,
536,1,1,
541,-1,-1,
571,-1,-1,
572,1,1,
578,1,1,
579,1,1,
585,1,1,
586,-1,-1,
593,-1,-1,
601,-1,-1,
603,-1,-1,
604,-1,-1,
606,1,1,
607,1,1,
609,-1,-1,
612,-1,-1,
617,1,1,
619,1,1,
627,-1,-1,
637,-1,-1,
644,-1,-1,
645,1,1,
655,-1,-1,
673,-1,-1,
676,-1,-1,
684,-1,-1,
698,1,1,
699,-1,-1,
701,1,1,
703,1,1,
708,-1,-1,
716,-1,-1,
719,1,1,
733,-1,-1,
739,-1,-1,
740,-1,-1,
743,-1,-1,
752,1,1,
755,-1,-1,
758,1,1,
763,-1,-1,
769,-1,-1,
770,1,1,
