Filename,Predictions,Truth,Accuracy
9,1,1,91.78532311062432
16,1,1,
17,-1,-1,
25,-1,-1,
28,1,1,
29,1,1,
30,-1,-1,
31,-1,-1,
35,1,1,
36,1,1,
47,-1,-1,
63,-1,-1,
68,1,1,
88,-1,-1,
93,-1,-1,
94,-1,-1,
95,-1,-1,
103,-1,-1,
104,-1,-1,
105,1,1,
119,-1,-1,
124,1,1,
135,1,1,
141,1,1,
142,1,1,
143,1,-1,
147,-1,-1,
156,-1,-1,
158,-1,1,
164,1,1,
173,-1,1,
179,1,-1,
187,-1,1,
192,-1,-1,
200,-1,-1,
206,-1,-1,
209,-1,-1,
260,1,1,
262,-1,-1,
263,-1,-1,
271,-1,-1,
279,-1,-1,
280,-1,-1,
297,-1,-1,
307,-1,-1,
309,-1,-1,
314,-1,-1,
319,-1,-1,
327,1,1,
330,-1,-1,
331,-1,-1,
334,1,-1,
336,-1,-1,
339,1,1,
344,1,1,
353,-1,-1,
354,-1,-1,
356,-1,-1,
362,-1,-1,
367,-1,-1,
369,1,-1,
372,-1,-1,
373,-1,-1,
383,-1,-1,
388,1,1,
391,1,1,
396,-1,-1,
398,1,1,
416,-1,1,
423,-1,-1,
439,-1,-1,
446,-1,-1,
464,1,-1,
472,-1,-1,
475,-1,-1,
477,-1,-1,
478,-1,-1,
484,-1,-1,
485,-1,-1,
486,-1,-1,
490,1,1,
492,1,1,
510,-1,-1,
516,-1,-1,
521,-1,-1,
526,1,1,
528,-1,1,
535,-1,-1,
536,1,1,
541,-1,-1,
550,-1,-1,
552,-1,-1,
557,-1,-1,
560,-1,1,
562,-1,-1,
566,-1,-1,
573,-1,-1,
587,-1,-1,
597,-1,-1,
598,1,-1,
599,-1,-1,
602,1,1,
611,-1,-1,
616,-1,-1,
620,-1,-1,
623,-1,-1,
631,-1,-1,
632,-1,-1,
633,1,1,
644,-1,-1,
651,-1,-1,
653,-1,-1,
657,-1,-1,
658,-1,-1,
660,-1,-1,
666,-1,-1,
672,-1,-1,
678,1,1,
683,-1,-1,
684,-1,-1,
689,-1,-1,
694,-1,-1,
696,-1,-1,
703,1,1,
704,-1,-1,
708,-1,-1,
726,-1,-1,
733,-1,-1,
735,-1,-1,
750,-1,-1,
752,1,1,
758,-1,1,
759,-1,-1,
763,-1,-1,
766,-1,-1,
768,-1,-1,
780,-1,-1,
781,1,1,
782,1,1,
787,-1,-1,
788,-1,-1,
796,-1,-1,
798,1,1,
803,-1,-1,
806,1,1,
808,1,-1,
820,-1,-1,
823,1,1,
832,1,1,
838,-1,-1,
839,-1,-1,
840,1,1,
842,-1,-1,
846,-1,-1,
855,-1,-1,
861,-1,-1,
873,1,1,
886,1,1,
887,1,1,
896,-1,-1,
902,1,1,
903,-1,-1,
904,-1,-1,
918,1,1,
919,-1,-1,
934,1,1,
935,1,1,
936,-1,-1,
944,1,1,
946,1,1,
956,1,1,
961,-1,-1,
963,-1,-1,
965,-1,1,
968,-1,1,
971,1,1,
973,-1,-1,
976,1,1,
978,-1,-1,
981,-1,-1,
992,-1,-1,
1001,-1,-1,
1003,-1,-1,
1005,-1,-1,
1011,-1,-1,
1015,-1,-1,
1021,-1,-1,
1027,-1,-1,
1028,1,1,
1029,-1,-1,
1037,-1,-1,
1043,1,1,
1047,1,1,
1051,1,1,
1055,-1,1,
1057,-1,-1,
1070,1,1,
1082,-1,-1,
1083,-1,-1,
1084,-1,-1,
1091,-1,-1,
1095,1,1,
1105,-1,-1,
1108,-1,-1,
1109,-1,-1,
1128,-1,-1,
1136,1,1,
1138,1,1,
1143,1,1,
1145,-1,-1,
1150,1,1,
1153,-1,-1,
1163,-1,-1,
1170,-1,-1,
1174,-1,-1,
1175,-1,-1,
1179,-1,-1,
1182,-1,-1,
1189,-1,-1,
1192,-1,1,
1194,-1,-1,
1195,1,1,
1207,1,-1,
1212,-1,-1,
1216,-1,-1,
1242,-1,-1,
1243,-1,-1,
1244,-1,-1,
1251,-1,-1,
1257,-1,-1,
1260,1,1,
1275,-1,-1,
1304,1,1,
1306,-1,-1,
1311,-1,-1,
1313,-1,-1,
1315,-1,-1,
1323,-1,-1,
1333,-1,-1,
1334,1,1,
1349,-1,-1,
1352,-1,-1,
1355,-1,-1,
1356,-1,-1,
1357,-1,-1,
1360,-1,-1,
1361,-1,-1,
1372,-1,-1,
1385,-1,-1,
1387,-1,1,
1389,-1,-1,
1398,-1,-1,
1405,1,1,
1417,1,-1,
1425,1,1,
1429,1,1,
1433,-1,-1,
1440,1,1,
1448,-1,-1,
1458,-1,-1,
1462,-1,-1,
1463,1,1,
1467,-1,-1,
1473,1,1,
1479,-1,-1,
1481,-1,-1,
1483,-1,-1,
1485,1,-1,
1491,-1,-1,
1497,-1,-1,
1500,-1,-1,
1502,-1,-1,
1505,-1,-1,
1514,-1,-1,
1522,1,1,
1532,-1,-1,
1537,1,1,
1541,-1,-1,
1557,-1,-1,
1561,-1,-1,
1579,1,1,
1584,1,-1,
1593,1,1,
1594,1,1,
1597,-1,-1,
1602,-1,-1,
1607,-1,-1,
1610,-1,-1,
1615,1,1,
1616,-1,-1,
1617,1,1,
1628,-1,-1,
1632,-1,-1,
1634,-1,-1,
1642,1,1,
1646,1,1,
1647,-1,-1,
1648,-1,-1,
1661,1,1,
1662,-1,-1,
1669,1,1,
1672,1,1,
1674,-1,-1,
1680,-1,-1,
1683,-1,1,
1684,1,1,
1690,-1,-1,
1697,1,1,
1699,-1,-1,
1700,1,1,
1701,-1,-1,
1715,-1,-1,
1719,-1,-1,
1721,1,1,
1732,-1,-1,
1740,1,1,
1748,-1,1,
1752,1,1,
1757,-1,-1,
1760,1,1,
1777,1,1,
1788,1,1,
1798,1,1,
1799,-1,-1,
1817,-1,-1,
1818,-1,-1,
1822,-1,-1,
1824,1,1,
1825,1,1,
1828,-1,-1,
1835,-1,-1,
1836,-1,-1,
1856,-1,-1,
1859,-1,-1,
1862,1,-1,
1864,-1,1,
1870,-1,-1,
1871,1,1,
1872,-1,-1,
1875,1,-1,
1877,-1,-1,
1878,-1,-1,
1882,1,1,
1890,-1,-1,
1892,-1,-1,
1915,-1,1,
1917,-1,1,
1918,-1,-1,
1922,1,1,
1927,-1,-1,
1928,-1,-1,
1930,-1,-1,
1931,-1,-1,
1938,-1,-1,
1944,1,-1,
1947,-1,-1,
1950,-1,-1,
1956,-1,-1,
1957,-1,-1,
1961,-1,-1,
1968,-1,-1,
1969,-1,-1,
1975,1,1,
1977,1,1,
1981,1,1,
1987,-1,-1,
1996,1,1,
2005,-1,-1,
2012,-1,-1,
2014,1,-1,
2022,-1,-1,
2026,1,1,
2027,1,1,
2041,-1,-1,
2045,-1,-1,
2050,-1,1,
2059,1,1,
2061,-1,-1,
2062,-1,-1,
2067,-1,-1,
2069,-1,-1,
2077,-1,-1,
2079,-1,-1,
2082,-1,-1,
2094,-1,-1,
2098,-1,-1,
2117,-1,-1,
2124,-1,-1,
2130,-1,-1,
2132,-1,1,
2137,1,1,
2139,1,1,
2146,1,1,
2153,1,1,
2161,-1,-1,
2163,-1,-1,
2170,-1,-1,
2172,-1,-1,
2176,-1,-1,
2178,-1,-1,
2182,-1,-1,
2184,1,1,
2185,-1,1,
2186,1,1,
2205,1,1,
2208,1,-1,
2210,-1,-1,
2212,1,1,
2219,-1,-1,
2220,-1,-1,
2221,-1,-1,
2226,1,1,
2236,-1,-1,
2254,-1,-1,
2259,-1,1,
2261,-1,-1,
2264,1,1,
2275,-1,1,
2282,1,1,
2285,-1,-1,
2288,1,1,
2295,1,1,
2323,-1,-1,
2325,-1,-1,
2332,-1,-1,
2340,-1,-1,
2341,-1,-1,
2345,-1,-1,
2349,-1,-1,
2350,1,-1,
2352,-1,-1,
2379,-1,-1,
2394,-1,-1,
2401,-1,-1,
2402,-1,-1,
2408,1,1,
2430,1,1,
2433,-1,-1,
2435,-1,-1,
2438,1,1,
2444,-1,-1,
2448,-1,-1,
2460,-1,-1,
2461,1,1,
2470,-1,-1,
2474,1,1,
2475,1,-1,
2476,1,1,
2495,-1,-1,
2503,-1,-1,
2504,-1,-1,
2511,-1,-1,
2512,-1,-1,
2515,-1,-1,
2524,1,1,
2525,1,1,
2528,-1,-1,
2529,-1,-1,
2530,-1,-1,
2545,-1,-1,
2549,-1,-1,
2554,1,-1,
2562,1,1,
2567,-1,-1,
2595,1,1,
2598,-1,-1,
2604,-1,-1,
2605,1,1,
2610,-1,-1,
2611,-1,-1,
2638,-1,-1,
2663,-1,-1,
2666,-1,-1,
2667,-1,-1,
2669,1,1,
2670,-1,-1,
2673,1,1,
2677,-1,-1,
2687,-1,-1,
2699,-1,-1,
2701,1,1,
2708,-1,-1,
2715,-1,-1,
2719,-1,1,
2721,1,1,
2725,-1,-1,
2729,-1,-1,
2731,-1,-1,
2733,-1,-1,
2741,-1,-1,
2742,-1,-1,
2751,-1,-1,
2755,1,1,
2761,1,1,
2762,-1,-1,
2764,-1,-1,
2777,-1,-1,
2779,-1,-1,
2785,-1,-1,
2804,-1,-1,
2811,-1,-1,
2818,1,1,
2820,1,1,
2822,1,1,
2823,-1,-1,
2825,1,1,
2841,-1,-1,
2846,-1,-1,
2847,1,1,
2852,-1,-1,
2853,-1,-1,
2861,-1,-1,
2863,-1,-1,
2873,-1,-1,
2878,1,-1,
2890,-1,-1,
2892,1,1,
2899,1,-1,
2900,-1,-1,
2901,-1,-1,
2908,-1,-1,
2910,1,-1,
2913,-1,1,
2917,-1,-1,
2918,-1,-1,
2938,-1,-1,
2939,-1,-1,
2950,-1,-1,
2955,-1,-1,
2959,-1,-1,
2963,-1,-1,
2973,-1,-1,
2980,-1,-1,
2985,-1,-1,
2989,-1,-1,
3000,-1,-1,
3003,-1,-1,
3004,-1,-1,
3006,-1,-1,
3011,-1,-1,
3024,-1,1,
3028,-1,-1,
3029,-1,-1,
3042,1,1,
3046,-1,-1,
3049,-1,-1,
3053,-1,1,
3066,-1,-1,
3068,-1,-1,
3071,1,1,
3079,-1,-1,
3080,1,1,
3087,1,1,
3089,1,1,
3093,1,1,
3094,-1,-1,
3098,1,1,
3107,-1,-1,
3108,1,1,
3112,-1,-1,
3127,-1,-1,
3128,-1,-1,
3130,-1,-1,
3135,-1,-1,
3138,-1,-1,
3140,-1,-1,
3145,-1,-1,
3148,-1,-1,
3152,1,1,
3155,1,1,
3157,-1,-1,
3162,-1,-1,
3163,-1,-1,
3168,1,1,
3190,-1,-1,
3193,-1,-1,
3198,1,1,
3200,1,-1,
3202,-1,-1,
3210,-1,-1,
3211,-1,-1,
3212,-1,-1,
3215,-1,-1,
3216,-1,-1,
3221,-1,-1,
3226,-1,-1,
3237,1,1,
3238,-1,-1,
3242,-1,-1,
3245,1,-1,
3260,-1,-1,
3268,1,1,
3274,-1,-1,
3278,1,1,
3279,-1,-1,
3280,-1,-1,
3284,-1,-1,
3289,1,1,
3298,1,1,
3307,-1,1,
3318,-1,-1,
3325,-1,-1,
3327,1,1,
3329,1,1,
3333,-1,-1,
3338,-1,1,
3342,-1,1,
3346,-1,-1,
3353,-1,-1,
3356,-1,-1,
3367,-1,-1,
3380,-1,-1,
3383,1,1,
3387,-1,-1,
3391,1,1,
3393,1,1,
3397,-1,-1,
3399,-1,-1,
3400,-1,-1,
3403,-1,-1,
3408,-1,-1,
3412,-1,-1,
3413,-1,-1,
3423,-1,-1,
3431,-1,-1,
3434,-1,-1,
3435,-1,-1,
3436,1,-1,
3439,1,1,
3450,-1,-1,
3454,-1,-1,
3455,1,1,
3460,-1,-1,
3468,1,1,
3472,1,1,
3476,-1,-1,
3479,-1,-1,
3484,-1,-1,
3485,-1,-1,
3496,-1,-1,
3497,1,1,
3501,-1,-1,
3507,1,1,
3508,-1,-1,
3510,1,1,
3515,-1,-1,
3526,1,1,
3530,-1,-1,
3534,-1,-1,
3550,-1,-1,
3558,-1,-1,
3586,-1,-1,
3589,-1,-1,
3601,1,1,
3610,-1,-1,
3614,1,-1,
3616,1,1,
3622,-1,1,
3625,1,1,
3628,-1,-1,
3630,-1,-1,
3632,-1,-1,
3633,1,1,
3635,-1,-1,
3636,-1,-1,
3640,-1,-1,
3642,-1,-1,
3650,-1,-1,
3651,-1,-1,
3653,-1,-1,
3655,-1,-1,
3658,-1,-1,
3659,-1,-1,
3661,-1,-1,
3663,1,1,
3677,1,1,
3683,-1,-1,
3687,-1,-1,
3689,1,1,
3705,1,1,
3713,1,1,
3715,-1,-1,
3722,1,1,
3728,-1,-1,
3737,-1,-1,
3738,1,1,
3742,-1,-1,
3771,-1,-1,
3781,1,1,
3796,-1,-1,
3799,-1,-1,
3800,1,1,
3804,-1,-1,
3810,-1,-1,
3811,1,1,
3820,-1,-1,
3821,-1,-1,
3822,1,1,
3824,-1,-1,
3828,-1,-1,
3829,-1,-1,
3837,-1,-1,
3841,-1,-1,
3851,1,1,
3857,-1,-1,
3869,-1,-1,
3879,-1,-1,
3890,1,-1,
3899,-1,-1,
3905,1,-1,
3908,-1,-1,
3912,-1,-1,
3915,-1,-1,
3916,-1,-1,
3917,-1,-1,
3921,-1,-1,
3925,1,1,
3930,-1,-1,
3932,-1,-1,
3933,-1,-1,
3946,-1,-1,
3948,1,1,
3956,-1,-1,
3959,-1,-1,
3969,-1,-1,
3971,-1,-1,
3976,1,1,
3984,-1,-1,
3985,-1,-1,
3989,-1,-1,
3991,-1,-1,
3998,1,1,
4002,1,1,
4019,1,1,
4021,-1,-1,
4023,-1,-1,
4028,-1,-1,
4029,-1,-1,
4036,-1,-1,
4041,1,1,
4042,1,1,
4050,1,-1,
4057,1,1,
4062,-1,-1,
4070,-1,-1,
4071,-1,-1,
4083,-1,-1,
4088,1,1,
4090,1,1,
4096,1,1,
4097,-1,-1,
4100,-1,-1,
4101,-1,-1,
4102,1,1,
4103,-1,-1,
4108,-1,-1,
4109,-1,-1,
4125,-1,-1,
4132,1,1,
4133,-1,-1,
4142,-1,-1,
4143,1,-1,
4147,-1,-1,
4156,-1,1,
4157,-1,-1,
4160,-1,-1,
4163,-1,-1,
4166,-1,-1,
4168,-1,-1,
4175,1,1,
4178,1,-1,
