Filename,Predictions,Truth,Accuracy
14,4,4,78.20372398685652
16,5,5,
22,4,-1,
25,1,1,
30,3,1,
31,-1,3,
33,-1,-1,
44,1,1,
47,4,4,
48,4,4,
53,0,0,
54,4,4,
61,1,1,
63,4,-1,
68,4,4,
69,1,1,
73,4,4,
85,5,5,
92,1,1,
100,4,4,
103,2,2,
107,2,2,
110,4,4,
113,5,5,
117,3,3,
126,5,5,
128,1,1,
140,4,4,
142,2,3,
152,4,4,
153,4,4,
159,1,1,
160,4,4,
165,5,5,
174,4,4,
178,4,4,
186,-1,4,
195,2,2,
198,2,2,
215,2,2,
228,1,1,
230,1,1,
239,4,4,
247,1,1,
262,1,3,
265,5,3,
270,2,2,
272,-1,4,
284,4,3,
285,-1,-1,
290,2,2,
293,-1,5,
298,3,3,
317,2,2,
320,2,2,
322,2,2,
323,4,4,
330,4,4,
334,5,5,
342,4,-1,
354,1,1,
357,4,4,
360,4,4,
372,4,-1,
373,4,3,
374,3,3,
379,4,4,
381,4,4,
390,-1,3,
399,4,4,
406,1,1,
410,4,-1,
412,-1,-1,
413,3,3,
423,4,3,
425,3,4,
445,4,3,
448,4,3,
450,4,-1,
451,4,4,
457,3,3,
458,2,2,
460,4,4,
467,-1,3,
473,3,3,
484,-1,-1,
485,4,-1,
486,4,4,
493,1,1,
504,3,3,
506,0,0,
521,-1,-1,
525,1,1,
531,3,3,
535,1,1,
538,3,3,
551,2,2,
558,-1,-1,
576,4,4,
581,4,-1,
582,5,-1,
587,-1,-1,
588,2,3,
601,3,3,
603,4,-1,
604,1,1,
607,5,5,
613,3,3,
621,-1,3,
634,2,2,
641,4,-1,
649,4,4,
653,-1,-1,
656,5,1,
657,5,5,
662,1,1,
664,4,4,
670,2,2,
675,4,4,
688,5,5,
689,4,4,
690,4,4,
693,1,1,
703,2,2,
705,1,-1,
713,1,1,
715,1,1,
716,1,1,
722,1,1,
723,5,5,
730,1,1,
735,-1,-1,
738,5,5,
740,2,2,
761,5,5,
764,2,2,
769,4,4,
770,5,5,
775,4,-1,
776,-1,5,
780,2,2,
783,3,-1,
788,1,1,
790,4,4,
796,3,-1,
797,4,4,
798,3,3,
799,2,2,
800,4,4,
804,4,4,
811,5,5,
815,4,4,
822,-1,0,
831,-1,1,
833,1,1,
835,-1,-1,
836,3,3,
837,1,1,
839,-1,-1,
845,2,2,
846,4,4,
850,-1,3,
852,4,4,
859,-1,-1,
860,1,1,
871,5,5,
873,1,1,
878,-1,4,
886,1,1,
889,4,-1,
890,2,2,
898,1,1,
899,3,3,
900,5,5,
908,2,2,
910,2,2,
913,5,5,
920,1,1,
925,1,1,
953,3,3,
957,2,2,
964,4,4,
971,3,3,
973,1,1,
978,-1,4,
984,4,4,
990,4,4,
995,4,4,
996,2,2,
1001,3,3,
1008,4,-1,
1011,3,3,
1019,-1,-1,
1023,2,2,
1024,5,5,
1026,1,1,
1033,5,5,
1034,3,3,
1037,1,1,
1044,-1,-1,
1045,4,4,
1049,5,5,
1051,5,5,
1056,-1,-1,
1058,4,-1,
1067,-1,-1,
1072,1,1,
1076,3,3,
1082,2,2,
1086,4,4,
1090,5,5,
1104,1,1,
1109,3,3,
1122,4,3,
1128,4,4,
1134,3,3,
1136,1,1,
1142,4,4,
1143,2,2,
1153,1,1,
1154,1,1,
1158,5,5,
1161,1,1,
1163,1,1,
1166,1,1,
1184,2,2,
1188,2,2,
1192,1,1,
1193,4,4,
1197,1,1,
1206,4,-1,
1211,5,0,
1221,3,4,
1225,1,1,
1234,2,2,
1244,-1,4,
1246,-1,-1,
1251,5,5,
1263,-1,1,
1266,4,-1,
1268,3,3,
1280,-1,-1,
1288,0,-1,
1291,4,4,
1293,-1,3,
1294,1,1,
1299,1,1,
1302,-1,-1,
1306,3,3,
1307,5,5,
1314,-1,3,
1315,1,1,
1316,1,1,
1321,1,1,
1323,-1,3,
1346,3,3,
1350,5,1,
1360,4,4,
1369,2,2,
1373,1,1,
1383,1,1,
1397,4,4,
1398,5,5,
1418,3,3,
1423,1,1,
1427,2,-1,
1433,-1,-1,
1434,2,2,
1446,2,2,
1448,2,3,
1450,-1,3,
1452,1,1,
1455,2,2,
1460,5,5,
1466,1,1,
1469,1,1,
1473,1,1,
1478,3,-1,
1486,1,1,
1493,5,5,
1503,5,5,
1513,1,1,
1528,1,1,
1532,3,3,
1536,4,3,
1557,1,1,
1558,3,3,
1562,4,-1,
1569,4,-1,
1570,1,-1,
1575,0,5,
1581,3,-1,
1592,1,1,
1597,2,2,
1598,3,3,
1608,4,4,
1625,-1,-1,
1627,1,0,
1634,-1,3,
1635,2,2,
1638,1,1,
1640,-1,1,
1650,1,1,
1666,1,1,
1667,4,3,
1670,3,3,
1675,1,1,
1680,4,4,
1687,5,3,
1694,1,1,
1705,-1,3,
1711,5,5,
1714,4,4,
1726,2,2,
1732,1,1,
1741,2,-1,
1749,3,3,
1751,1,1,
1766,2,2,
1772,1,1,
1773,1,1,
1774,3,4,
1776,3,3,
1777,4,4,
1778,-1,-1,
1785,4,4,
1786,2,2,
1809,-1,3,
1812,4,-1,
1817,1,1,
1832,-1,5,
1833,3,3,
1837,5,-1,
1841,3,3,
1843,2,2,
1847,2,2,
1850,5,5,
1855,-1,-1,
1858,3,3,
1859,4,4,
1884,3,3,
1888,0,5,
1892,2,2,
1896,1,1,
1900,3,3,
1915,1,0,
1917,1,1,
1921,5,5,
1930,2,2,
1938,2,2,
1946,5,5,
1948,2,2,
1956,-1,-1,
1967,3,3,
1969,-1,4,
1971,5,5,
1986,-1,1,
1997,5,5,
2004,5,1,
2020,3,3,
2023,2,2,
2035,1,1,
2057,2,2,
2060,1,1,
2066,3,3,
2068,4,4,
2081,4,4,
2082,1,1,
2087,5,5,
2093,4,-1,
2094,4,3,
2096,1,1,
2103,2,2,
2105,4,4,
2109,2,2,
2111,3,3,
2114,4,4,
2118,2,2,
2124,-1,1,
2136,4,-1,
2140,1,1,
2144,4,4,
2154,3,3,
2155,3,3,
2158,1,1,
2161,4,4,
2165,4,4,
2167,3,3,
2169,3,3,
2173,-1,1,
2180,5,5,
2181,4,4,
2183,3,3,
2184,1,1,
2187,3,3,
2191,5,5,
2195,-1,4,
2201,1,1,
2205,5,5,
2207,1,3,
2214,1,1,
2216,2,2,
2219,5,0,
2221,2,2,
2224,4,4,
2228,1,-1,
2245,1,1,
2255,5,5,
2262,-1,-1,
2268,5,5,
2269,-1,3,
2270,5,5,
2288,3,3,
2294,5,0,
2300,1,1,
2303,3,3,
2305,2,2,
2311,4,-1,
2314,1,1,
2318,4,4,
2322,2,2,
2329,4,4,
2331,5,5,
2337,3,-1,
2339,2,2,
2343,3,3,
2345,3,3,
2347,1,0,
2349,5,5,
2354,5,5,
2356,4,-1,
2357,4,4,
2359,-1,-1,
2365,2,2,
2366,2,2,
2367,2,1,
2370,1,1,
2372,5,5,
2373,1,1,
2381,5,2,
2386,1,1,
2389,4,4,
2394,3,3,
2401,4,4,
2411,4,4,
2412,1,1,
2413,2,2,
2417,5,5,
2421,5,5,
2426,1,3,
2432,1,1,
2441,1,1,
2451,4,-1,
2459,3,-1,
2465,1,1,
2472,1,3,
2478,3,3,
2479,2,3,
2481,3,1,
2490,5,5,
2497,4,-1,
2501,3,3,
2505,-1,-1,
2531,2,2,
2540,4,4,
2548,5,5,
2550,3,3,
2555,3,3,
2563,1,1,
2564,2,2,
2566,2,3,
2594,2,2,
2600,5,5,
2604,1,1,
2608,-1,5,
2609,1,-1,
2616,2,2,
2618,2,2,
2619,1,1,
2621,3,3,
2622,4,4,
2627,5,5,
2631,1,1,
2633,3,3,
2636,1,1,
2641,5,-1,
2647,2,3,
2648,1,1,
2660,4,4,
2664,4,4,
2666,5,5,
2678,-1,-1,
2687,3,3,
2688,4,4,
2693,3,3,
2716,2,2,
2720,1,1,
2742,-1,1,
2743,3,3,
2748,5,5,
2749,2,2,
2753,4,0,
2756,3,3,
2760,5,5,
2762,1,1,
2766,1,0,
2773,4,4,
2774,2,2,
2775,5,5,
2787,1,1,
2792,5,3,
2795,2,2,
2800,2,2,
2801,3,3,
2813,3,3,
2819,4,-1,
2832,3,4,
2834,5,5,
2842,1,1,
2844,5,5,
2847,1,1,
2851,4,-1,
2854,5,5,
2862,4,4,
2863,3,3,
2864,5,5,
2884,1,1,
2889,5,5,
2897,5,5,
2900,1,0,
2904,3,3,
2905,5,5,
2908,4,-1,
2911,3,3,
2916,2,2,
2918,2,2,
2929,3,3,
2930,4,4,
2935,1,0,
2937,2,1,
2942,-1,-1,
2947,1,1,
2948,2,0,
2949,1,1,
2953,4,4,
2956,3,3,
2959,1,1,
2963,3,3,
2968,1,1,
2973,1,1,
2975,3,3,
2981,1,1,
2986,1,1,
2987,2,2,
2988,1,1,
2989,1,1,
2992,3,3,
2995,2,2,
2997,3,3,
2998,-1,-1,
3000,1,1,
3001,-1,3,
3016,-1,-1,
3031,3,3,
3033,3,-1,
3036,3,3,
3047,2,2,
3053,4,4,
3058,1,1,
3079,4,4,
3081,2,2,
3083,1,1,
3088,1,1,
3089,3,3,
3093,5,5,
3095,3,3,
3111,-1,4,
3114,5,5,
3125,5,3,
3128,1,1,
3135,3,-1,
3138,3,3,
3139,5,5,
3148,4,4,
3165,-1,-1,
3168,4,4,
3171,1,1,
3174,5,3,
3176,5,5,
3177,1,1,
3182,3,3,
3194,3,3,
3195,-1,-1,
3196,3,3,
3198,3,3,
3199,3,3,
3207,4,4,
3211,1,1,
3214,1,1,
3223,5,5,
3224,2,2,
3226,-1,3,
3237,1,1,
3243,4,4,
3254,1,1,
3268,5,0,
3272,1,1,
3276,3,3,
3286,2,2,
3289,1,1,
3304,2,2,
3305,1,1,
3307,1,1,
3308,1,1,
3310,4,4,
3311,4,-1,
3321,2,2,
3328,3,-1,
3331,1,1,
3332,2,2,
3336,4,4,
3346,-1,-1,
3347,-1,4,
3349,3,3,
3351,2,3,
3353,1,2,
3363,3,-1,
3365,1,1,
3367,1,1,
3370,-1,-1,
3372,-1,-1,
3377,2,2,
3379,5,5,
3380,4,4,
3381,4,4,
3383,1,5,
3391,3,3,
3393,5,5,
3399,3,3,
3408,1,1,
3417,0,2,
3428,5,5,
3429,5,5,
3431,4,4,
3433,1,-1,
3434,4,4,
3436,4,4,
3439,1,1,
3445,5,5,
3454,2,2,
3465,5,5,
3469,4,4,
3476,4,-1,
3478,1,1,
3484,-1,4,
3486,3,3,
3487,3,3,
3494,3,3,
3496,1,1,
3499,4,4,
3501,4,4,
3505,4,-1,
3506,1,1,
3510,3,3,
3511,2,3,
3515,4,-1,
3532,4,4,
3534,3,3,
3535,3,3,
3547,1,1,
3548,-1,-1,
3555,4,-1,
3562,4,4,
3577,1,1,
3595,3,3,
3600,4,5,
3604,5,5,
3605,-1,4,
3607,3,3,
3610,-1,3,
3614,3,3,
3626,5,5,
3631,1,1,
3655,-1,3,
3668,2,2,
3670,3,-1,
3674,2,2,
3683,5,5,
3685,2,2,
3686,2,2,
3689,5,5,
3698,1,1,
3700,1,1,
3701,2,2,
3709,4,4,
3721,4,4,
3735,3,3,
3740,4,-1,
3751,3,3,
3753,4,4,
3760,3,3,
3761,3,1,
3770,2,2,
3771,1,1,
3787,2,2,
3793,1,1,
3801,3,3,
3806,3,3,
3807,1,1,
3817,3,3,
3819,1,-1,
3824,4,4,
3826,-1,3,
3827,4,4,
3830,4,-1,
3841,1,1,
3846,-1,-1,
3847,2,2,
3855,4,-1,
3861,-1,3,
3865,4,4,
3870,4,-1,
3872,3,-1,
3877,3,3,
3879,4,-1,
3882,5,5,
3890,5,5,
3894,-1,-1,
3903,4,4,
3913,4,4,
3917,-1,-1,
3924,2,2,
3928,5,5,
3942,-1,-1,
3943,4,4,
3948,2,2,
3955,1,1,
3956,1,1,
3960,-1,4,
3963,1,3,
3964,4,4,
3966,1,1,
3983,2,2,
3991,4,-1,
3996,2,2,
3997,1,1,
4013,-1,4,
4018,3,3,
4022,2,2,
4025,3,3,
4040,-1,-1,
4044,-1,3,
4051,-1,-1,
4052,3,3,
4058,4,4,
4059,3,3,
4073,1,1,
4075,-1,4,
4089,5,5,
4090,2,2,
4101,4,-1,
4103,1,1,
4111,5,5,
4119,4,4,
4125,1,-1,
4137,1,1,
4150,2,2,
4156,5,5,
4163,-1,-1,
4170,1,1,
4177,2,2,
4178,5,3,
4185,3,3,
4187,2,2,
4189,5,1,
4206,3,3,
4214,3,3,
4226,3,3,
4235,5,1,
4237,-1,-1,
4244,4,4,
4247,1,1,
4256,2,2,
4261,5,5,
4269,5,5,
4271,-1,-1,
4272,3,3,
4276,-1,-1,
4279,3,3,
4286,1,1,
4289,5,5,
4290,1,3,
4299,3,3,
4308,4,4,
4321,1,1,
4324,1,1,
4326,2,2,
4336,-1,-1,
4337,3,3,
4339,3,3,
4343,4,-1,
4353,4,-1,
4365,1,1,
4370,4,-1,
4376,1,1,
4378,4,4,
4379,1,1,
4384,5,5,
4393,1,1,
4396,2,2,
4405,3,-1,
4411,2,2,
4416,4,4,
4421,4,-1,
4423,1,1,
4431,4,3,
4434,-1,4,
4437,3,4,
4461,4,4,
4464,-1,5,
4467,3,3,
4468,5,5,
4474,5,5,
4479,3,3,
4487,5,5,
4492,4,4,
4494,2,2,
4495,4,-1,
4497,4,4,
4498,1,1,
4514,4,4,
4521,2,2,
4527,4,4,
4539,3,3,
4540,2,2,
4547,5,5,
4551,1,1,
4554,4,4,
4561,2,2,
