Filename,Predictions,Truth,Accuracy
2,1,1,
13,1,1,
20,1,1,
24,-1,-1,
28,-1,-1,
32,-1,-1,
38,1,1,
42,1,1,
47,1,1,
55,-1,-1,
59,-1,-1,
64,-1,-1,
76,1,1,
85,-1,-1,
86,1,1,
104,1,1,
106,1,1,
117,-1,-1,
148,-1,-1,
152,-1,-1,
156,1,-1,
164,1,-1,
165,-1,-1,
170,1,1,
182,-1,-1,
191,1,1,
196,-1,-1,
198,-1,-1,
213,-1,-1,
219,-1,-1,
226,1,1,
231,-1,-1,
238,-1,-1,
247,-1,-1,
252,1,1,
254,-1,1,
259,1,1,
260,-1,-1,
271,-1,-1,
275,-1,-1,
282,1,1,
283,-1,-1,
288,1,1,
292,1,1,
295,-1,-1,
296,1,1,
297,-1,-1,
298,1,1,
300,-1,-1,
307,-1,1,
309,-1,-1,
315,-1,-1,
323,1,1,
325,-1,1,
329,-1,-1,
342,1,1,
351,-1,-1,
370,1,1,
380,1,1,
383,-1,1,
384,-1,-1,
394,1,1,
410,-1,1,
413,-1,-1,
417,1,1,
423,1,1,
424,1,1,
428,-1,-1,
455,1,1,
461,1,1,
476,-1,-1,
479,-1,-1,
483,-1,-1,
490,-1,-1,
491,-1,-1,
497,1,1,
505,-1,-1,
516,1,1,
519,1,1,
520,-1,-1,
527,1,1,
529,1,1,
531,-1,-1,
532,1,1,
537,-1,-1,
545,-1,-1,
549,1,1,
550,-1,-1,
558,1,1,
564,1,-1,
565,-1,-1,
567,-1,-1,
584,1,1,
586,-1,-1,
592,1,1,
602,1,1,
603,1,1,
609,-1,-1,
615,1,1,
621,1,1,
628,1,1,
634,-1,-1,
642,1,1,
645,1,1,
646,-1,-1,
648,-1,-1,
656,1,1,
657,-1,-1,
666,-1,-1,
667,-1,-1,
678,-1,-1,
679,1,-1,
681,1,-1,
686,1,1,
687,1,1,
688,-1,-1,
689,1,1,
690,1,1,
700,1,-1,
702,-1,-1,
710,-1,1,
712,-1,-1,
713,-1,-1,
716,-1,1,
721,-1,-1,
730,-1,-1,
737,1,-1,
738,-1,-1,
743,1,-1,
745,-1,-1,
746,-1,-1,
773,1,1,
774,-1,-1,
775,1,1,
777,-1,-1,
780,-1,-1,
784,1,1,
798,-1,-1,
804,1,-1,
816,-1,-1,
818,-1,1,
827,-1,-1,
832,-1,-1,
838,1,1,
840,-1,-1,
846,1,1,
849,-1,-1,
851,-1,-1,
858,1,-1,
859,1,1,
867,-1,1,
871,-1,-1,
880,-1,-1,
881,1,1,
882,-1,-1,
892,1,1,
895,-1,-1,
896,-1,-1,
897,1,1,
899,-1,-1,
902,-1,-1,
906,1,1,
920,-1,-1,
921,-1,-1,
923,-1,-1,
938,1,1,
941,-1,-1,
