Filename,Predictions,Truth
2,1,1
7,-1,-1
14,1,1
17,-1,-1
24,-1,-1
36,-1,-1
41,1,1
42,1,1
53,1,1
54,1,1
55,-1,-1
56,1,1
62,-1,-1
64,-1,-1
70,1,1
74,-1,-1
79,-1,-1
96,-1,-1
99,1,1
101,1,1
102,1,1
105,-1,-1
109,-1,-1
113,-1,-1
115,1,1
116,1,1
130,-1,-1
133,-1,-1
137,-1,-1
141,-1,-1
142,-1,-1
143,-1,-1
147,1,1
149,-1,-1
155,-1,-1
157,1,1
169,-1,-1
172,-1,-1
181,-1,1
189,1,1
190,1,1
199,1,1
206,1,1
217,-1,-1
224,1,1
226,1,1
228,-1,-1
238,-1,-1
239,-1,-1
240,-1,-1
243,1,1
245,1,1
249,-1,-1
260,-1,-1
263,-1,-1
271,-1,-1
272,1,1
279,1,1
294,1,1
295,-1,-1
296,1,1
307,1,1
309,-1,-1
317,-1,-1
323,1,1
327,-1,-1
335,-1,-1
338,1,1
346,1,1
352,-1,-1
354,-1,-1
356,-1,-1
363,1,1
366,1,1
367,1,1
373,1,1
378,1,1
388,-1,-1
406,-1,-1
410,1,1
420,1,1
424,1,1
429,-1,-1
433,-1,-1
434,-1,-1
435,-1,-1
441,1,1
443,-1,-1
453,1,1
473,-1,-1
478,-1,-1
487,-1,-1
489,-1,-1
492,-1,-1
514,-1,-1
519,1,1
520,-1,-1
538,1,1
564,-1,-1
566,-1,-1
576,-1,-1
577,1,1
580,1,1
588,-1,-1
590,-1,-1
594,-1,-1
598,-1,-1
599,1,1
609,-1,-1
612,1,1
618,-1,-1
622,1,1
624,1,1
626,-1,-1
629,1,1
630,1,1
631,1,1
633,-1,-1
648,-1,-1
652,1,1
653,1,1
657,-1,-1
666,-1,-1
680,1,1
681,-1,-1
685,1,1
690,1,1
693,1,1
699,-1,-1
706,1,1
732,1,1
735,1,1
736,1,1
745,-1,-1
746,-1,-1
750,1,1
756,1,1
757,-1,-1
758,1,1
761,-1,-1
763,1,1
767,1,1
774,-1,-1
783,1,1
787,1,1
790,1,1
797,-1,-1
800,1,1
809,-1,-1
815,-1,-1
819,-1,-1
825,-1,-1
834,-1,-1
850,1,1
854,-1,-1
856,1,1
869,1,1
878,1,1
880,-1,-1
883,-1,-1
889,1,1
892,1,1
898,-1,-1
902,-1,-1
903,-1,-1
907,-1,1
908,-1,-1
910,-1,-1
917,1,1
920,-1,-1
925,-1,-1
928,-1,-1
933,-1,-1
937,1,1
940,-1,-1
947,-1,-1
950,1,1
955,-1,-1
957,-1,-1
961,1,1
977,1,1
979,-1,-1
981,-1,-1
984,-1,-1
994,-1,-1
999,1,1
1006,1,1
1013,1,1
1017,-1,-1
1018,1,1
1039,1,1
1046,-1,-1
1049,-1,-1
1057,-1,-1
1060,-1,-1
1071,-1,-1
1074,-1,-1
1084,1,1
1085,-1,-1
1088,1,1
1093,-1,-1
1096,1,1
1103,1,1
1104,-1,-1
1123,-1,-1
1137,1,1
1150,-1,-1
1152,-1,-1
1173,1,1
1194,1,1
1195,-1,-1
1196,1,1
1198,1,1
1208,-1,-1
1213,1,1
1214,-1,-1
1216,1,1
1218,1,1
1223,-1,-1
1227,-1,-1
1231,-1,-1
1242,-1,-1
1246,1,1
1251,-1,-1
1263,1,1
1270,-1,-1
1275,1,1
1290,-1,-1
1294,-1,-1
1302,1,1
1303,-1,-1
1305,-1,-1
1308,-1,-1
1313,1,1
1316,-1,-1
1328,-1,-1
1329,-1,-1
1330,-1,-1
1342,1,1
1348,-1,-1
1358,-1,-1
1362,-1,-1
1363,1,1
1365,-1,-1
1369,-1,-1
1371,-1,-1
1375,1,1
1387,-1,-1
1390,-1,-1
1392,1,1
1399,-1,-1
1401,1,1
1411,-1,-1
1418,-1,-1
1425,-1,-1
1431,1,1
1432,-1,-1
1436,-1,-1
1437,1,1
1446,-1,-1
1454,-1,-1
1460,-1,-1
1467,-1,-1
1471,1,1
1475,1,1
1486,-1,-1
1489,1,1
1490,1,1
1495,1,1
1497,1,1
1503,-1,-1
1505,-1,-1
1513,1,1
1518,1,1
1523,-1,-1
1526,1,1
1527,-1,-1
1534,-1,-1
1535,1,1
1538,1,1
1541,1,1
1547,1,1
1553,1,1
1554,-1,-1
1555,1,1
1567,1,1
1569,1,1
1576,-1,-1
1578,1,1
1582,-1,-1
1592,-1,-1
1594,-1,-1
1595,1,1
1601,1,1
1608,1,1
1609,-1,-1
1616,-1,-1
1623,1,1
1624,1,1
1627,1,1
1642,-1,-1
1646,-1,-1
1651,-1,-1
1655,1,1
1669,-1,-1
1674,-1,-1
1677,1,1
1678,-1,-1
1683,-1,-1
1688,-1,-1
1692,-1,-1
1693,1,1
1700,-1,-1
1706,1,1
1728,1,1
1733,-1,-1
1735,1,1
1737,-1,-1
1740,-1,-1
1743,-1,-1
1755,1,1
1760,-1,-1
1766,-1,-1
1770,-1,-1
1773,-1,-1
1775,1,1
1780,1,1
1788,-1,-1
1790,1,1
1793,1,1
1796,-1,-1
1798,-1,-1
1801,1,1
1807,1,1
1816,-1,-1
1817,1,1
1822,1,1
1829,-1,-1
1834,-1,-1
1837,1,1
1846,1,1
1851,1,1
1867,-1,-1
1868,1,1
1869,-1,-1
1876,1,1
1887,1,1
1888,1,1
1890,-1,-1
1892,-1,-1
1898,1,1
1900,-1,-1
1911,-1,-1
1918,1,1
1925,-1,-1
1936,-1,-1
1940,-1,-1
1942,-1,-1
1945,-1,-1
1948,-1,-1
1951,-1,-1
1958,-1,-1
1961,-1,-1
1962,-1,-1
1964,-1,-1
1970,1,1
1983,-1,-1
1985,1,1
1993,1,1
1997,-1,-1
2004,-1,-1
2006,1,1
2019,-1,-1
2021,-1,-1
2022,1,1
2025,1,1
2030,-1,-1
2035,1,1
2044,1,1
2045,-1,-1
2046,1,1
2052,1,1
2061,-1,-1
2063,1,1
2069,-1,-1
2070,-1,-1
2089,-1,-1
2098,1,1
2102,-1,-1
2110,-1,-1
2120,-1,-1
2125,1,1
2129,-1,-1
2136,1,1
2137,-1,-1
2151,1,1
2168,-1,-1
2181,-1,-1
2182,1,1
2183,-1,-1
2193,-1,-1
2208,-1,-1
2210,-1,-1
2212,-1,-1
2216,-1,-1
2224,-1,-1
2229,-1,-1
2238,-1,-1
2241,1,1
2243,1,1
2244,-1,-1
2251,1,1
2255,-1,-1
2263,1,1
2267,-1,-1
2272,-1,-1
2275,-1,-1
2280,1,1
2282,-1,-1
2283,1,1
2294,1,1
2296,1,1
2306,1,1
2315,-1,-1
2316,1,1
2327,1,1
2336,1,1
2337,1,1
2341,1,1
2343,-1,-1
2344,-1,-1
2347,-1,-1
2356,1,1
2358,-1,-1
2368,-1,-1
2372,-1,-1
2375,1,1
2379,1,1
2384,1,1
2391,1,1
2393,-1,-1
2396,1,1
2403,1,1
2412,-1,-1
2413,-1,-1
2415,1,1
2418,-1,-1
2422,-1,-1
2430,-1,-1
2434,-1,-1
2437,-1,-1
2442,-1,-1
2447,-1,-1
2468,-1,-1
2471,-1,-1
2475,-1,-1
2480,-1,-1
2482,-1,-1
2483,1,1
2489,-1,-1
2503,-1,-1
2512,1,1
2514,-1,-1
2515,-1,-1
2517,-1,-1
2523,-1,-1
2534,1,1
2538,1,1
2540,1,1
2541,1,1
2552,-1,-1
2554,1,1
2564,-1,-1
2565,1,1
2568,1,1
2570,1,1
2572,1,1
2573,-1,-1
