Filename,Predictions,Truth,Accuracy
7,1,1,80.61336254107339
8,1,1,
13,1,-1,
17,1,1,
20,1,-1,
28,1,1,
29,1,1,
31,1,-1,
42,1,1,
46,1,1,
50,1,1,
53,1,1,
64,1,1,
66,1,1,
70,1,-1,
71,1,1,
75,1,1,
89,1,1,
91,1,-1,
93,1,-1,
95,1,1,
96,1,1,
104,1,1,
112,1,1,
119,1,1,
123,1,1,
124,1,1,
126,1,1,
127,1,1,
143,1,1,
159,1,1,
164,1,1,
165,1,1,
168,1,1,
170,1,-1,
177,1,1,
179,1,-1,
182,1,1,
183,1,1,
185,1,1,
186,1,1,
187,1,1,
196,1,1,
198,1,1,
199,1,1,
206,1,1,
213,1,1,
214,1,1,
216,1,1,
221,1,1,
225,1,-1,
228,1,1,
240,1,1,
246,1,-1,
250,1,-1,
252,1,-1,
255,1,1,
259,1,-1,
260,1,1,
261,1,1,
262,1,1,
265,1,1,
273,1,1,
275,1,1,
279,1,-1,
280,1,1,
283,1,1,
291,1,-1,
292,1,-1,
299,1,1,
311,1,-1,
318,1,1,
323,1,-1,
325,1,1,
330,1,1,
335,1,1,
336,1,1,
342,1,1,
343,1,1,
354,1,1,
356,1,1,
363,1,1,
370,1,-1,
372,1,1,
373,1,-1,
391,1,1,
407,1,1,
410,1,-1,
411,1,1,
414,1,1,
425,1,1,
428,1,1,
435,1,1,
439,1,-1,
451,1,1,
453,1,1,
464,1,1,
467,1,-1,
480,1,1,
481,1,1,
482,1,1,
486,1,-1,
495,1,-1,
500,1,1,
516,1,-1,
521,1,1,
522,1,1,
524,1,1,
541,1,1,
549,1,-1,
551,1,1,
560,1,-1,
561,1,1,
562,1,1,
564,1,1,
579,1,1,
594,1,1,
602,1,-1,
609,1,1,
611,1,1,
612,1,1,
614,1,1,
615,1,-1,
616,1,-1,
627,1,1,
634,1,1,
640,1,1,
645,1,-1,
648,1,1,
654,1,1,
656,1,1,
660,1,1,
672,1,1,
676,1,-1,
688,1,1,
689,1,-1,
700,1,1,
705,1,-1,
713,1,1,
725,1,1,
726,1,1,
738,1,1,
751,1,1,
759,1,-1,
770,1,1,
780,1,1,
788,1,1,
789,1,-1,
791,1,1,
792,1,1,
795,1,-1,
797,1,1,
802,1,1,
806,1,1,
807,1,1,
816,1,1,
823,1,1,
829,1,-1,
832,1,1,
837,1,1,
850,1,1,
854,1,1,
861,1,1,
873,1,1,
877,1,1,
884,1,1,
885,1,1,
890,1,1,
891,1,1,
896,1,1,
898,1,1,
901,1,1,
904,1,1,
906,1,1,
910,1,1,
912,1,-1,
913,1,1,
916,1,1,
923,1,1,
948,1,1,
950,1,1,
954,1,1,
956,1,1,
961,1,1,
963,1,-1,
972,1,-1,
976,1,1,
981,1,1,
984,1,1,
986,1,1,
988,1,1,
991,1,1,
1006,1,1,
1035,1,1,
1049,1,1,
1054,1,1,
1059,1,1,
1062,1,1,
1071,1,1,
1073,1,1,
1074,1,1,
1076,1,-1,
1077,1,-1,
1084,1,-1,
1095,1,1,
1099,1,1,
1104,1,1,
1108,1,1,
1119,1,1,
1122,1,-1,
1127,1,1,
1138,1,1,
1144,1,1,
1157,1,-1,
1163,1,1,
1169,1,1,
1180,1,1,
1184,1,1,
1185,1,-1,
1188,1,1,
1191,1,1,
1192,1,1,
1194,1,1,
1202,1,-1,
1203,1,1,
1208,1,1,
1211,1,-1,
1213,1,-1,
1220,1,-1,
1221,1,1,
1223,1,1,
1224,1,1,
1238,1,-1,
